HTS_Code,Description,Section
2025,,232_steel
5501,,232_steel
5502,,232_steel
5503,,232_steel
5505,,232_steel
5507,,232_steel
5508,,232_steel
5511,,232_steel
5518,,232_steel
5519,,232_steel
5520,,232_steel
5530,,232_steel
5540,,232_steel
5550,,232_steel
5560,,232_steel
5570,,232_steel
5580,,232_steel
5590,,232_steel
6530,,232_steel
6560,,232_steel
7206,,232_steel
7207,,232_steel
7208,,232_steel
7209,,232_steel
7210,,232_steel
7211,,232_steel
7212,,232_steel
7213,,232_steel
7214,,232_steel
7215,,232_steel
7216,,232_steel
7216.61.00,,232_steel
7216.69.00,,232_steel
7216.91.00,,232_steel
7217,,232_steel
7218,,232_steel
7219,,232_steel
7220,,232_steel
7221,,232_steel
7222,,232_steel
7223,,232_steel
7224,,232_steel
7225,,232_steel
7226,,232_steel
7227,,232_steel
7228,,232_steel
7229,,232_steel
7301.10.00,,232_steel
7301.20.10,,232_steel
7301.20.50,,232_steel
7302.10,,232_steel
7302.30.00,,232_steel
7302.40.00,,232_steel
7302.90.00,,232_steel
7304,,232_steel
7305,,232_steel
7306,,232_steel
7307.21.10,,232_steel
7307.21.50,,232_steel
7307.22.10,,232_steel
7307.22.50,,232_steel
7307.23.00,,232_steel
7307.29.00,,232_steel
7307.91.10,,232_steel
7307.91.30,,232_steel
7307.91.50,,232_steel
7307.92.30,,232_steel
7307.92.90,,232_steel
7307.93.30,,232_steel
7307.93.60,,232_steel
7307.93.90,,232_steel
7307.99.10,,232_steel
7307.99.30,,232_steel
7307.99.50,,232_steel
7308.10.00,,232_steel
7308.20.00,,232_steel
7308.30.10,,232_steel
7308.30.50,,232_steel
7308.40.00,,232_steel
7308.90.30,,232_steel
7308.90.60,,232_steel
7308.90.70,,232_steel
7308.90.95,,232_steel
7309.00.00,,232_steel
7310.10.00,,232_steel
7310.21.00,,232_steel
7310.29.00,,232_steel
7311.00.00,,232_steel
7312.10.05,,232_steel
7312.10.10,,232_steel
7312.10.20,,232_steel
7312.10.30,,232_steel
7312.10.50,,232_steel
7312.10.60,,232_steel
7312.10.70,,232_steel
7312.10.80,,232_steel
7312.10.90,,232_steel
7312.90.00,,232_steel
7313.00.00,,232_steel
7314.12.10,,232_steel
7314.12.20,,232_steel
7314.12.30,,232_steel
7314.12.60,,232_steel
7314.12.90,,232_steel
7314.14.10,,232_steel
7314.14.20,,232_steel
7314.14.30,,232_steel
7314.14.60,,232_steel
7314.14.90,,232_steel
7314.19.01,,232_steel
7314.20.00,,232_steel
7314.31.10,,232_steel
7314.31.50,,232_steel
7314.39.00,,232_steel
7314.41.00,,232_steel
7314.42.00,,232_steel
7314.49.30,,232_steel
7314.49.60,,232_steel
7314.50.00,,232_steel
7315.11.00,,232_steel
7315.12.00,,232_steel
7315.19.00,,232_steel
7315.20.10,,232_steel
7315.20.50,,232_steel
7315.81.00,,232_steel
7315.82.10,,232_steel
7315.82.30,,232_steel
7315.82.50,,232_steel
7315.82.70,,232_steel
7315.89.10,,232_steel
7315.89.30,,232_steel
7315.89.50,,232_steel
7315.90.00,,232_steel
7316.00.00,,232_steel
7317.00,,232_steel
7317.00.10,,232_steel
7317.00.20,,232_steel
7317.00.30,,232_steel
7317.00.55,,232_steel
7317.00.65,,232_steel
7317.00.75,,232_steel
7318.11.00,,232_steel
7318.12.00,,232_steel
7318.13.00,,232_steel
7318.14.10,,232_steel
7318.14.50,,232_steel
7318.15.20,,232_steel
7318.15.40,,232_steel
7318.15.50,,232_steel
7318.15.60,,232_steel
7318.15.80,,232_steel
7318.16.00,,232_steel
7318.19.00,,232_steel
7318.21.00,,232_steel
7318.22.00,,232_steel
7318.23.00,,232_steel
7318.24.00,,232_steel
7318.29.00,,232_steel
7319.40.20,,232_steel
7319.40.30,,232_steel
7319.40.50,,232_steel
7319.90.10,,232_steel
7319.90.90,,232_steel
7320.10.30,,232_steel
7320.10.60,,232_steel
7320.10.90,,232_steel
7320.20.10,,232_steel
7320.20.50,,232_steel
7320.90.10,,232_steel
7320.90.50,,232_steel
7321.11.10,,232_steel
7321.11.30,,232_steel
7321.11.60,,232_steel
7321.12.00,,232_steel
7321.19.00,,232_steel
7321.81.10,,232_steel
7321.81.50,,232_steel
7321.82.10,,232_steel
7321.82.50,,232_steel
7321.89.00,,232_steel
7321.90.10,,232_steel
7321.90.20,,232_steel
7321.90.40,,232_steel
7321.90.50,,232_steel
7321.90.60,,232_steel
7322.19.00,,232_steel
7322.90.00,,232_steel
7323.10.00,,232_steel
7323.93.00,,232_steel
7323.94.00,,232_steel
7323.99.10,,232_steel
7323.99.30,,232_steel
7323.99.50,,232_steel
7323.99.70,,232_steel
7323.99.90,,232_steel
7324.10.00,,232_steel
7324.29.00,,232_steel
7324.90.00,,232_steel
7325.91.00,,232_steel
7325.99.10,,232_steel
7325.99.50,,232_steel
7326.11.00,,232_steel
7326.19.00,,232_steel
7326.20.00,,232_steel
7326.90.10,,232_steel
7326.90.25,,232_steel
7326.90.35,,232_steel
7326.90.45,,232_steel
7326.90.60,,232_steel
7326.90.86,,232_steel
8305,,232_steel
8431.31.00,,232_steel
8431.42.00,,232_steel
8431.49.10,,232_steel
8431.49.90,,232_steel
8432.10.00,,232_steel
8432.90.00,,232_steel
8547.90.00,,232_steel
8701,,232_steel
8705,,232_steel
8708.10.30,,232_steel
8708.29.21,,232_steel
9403.20.00,,232_steel
9405.99.20,,232_steel
9405.99.40,,232_steel
9406.20.00,,232_steel
9406.90.01,,232_steel
9903.81.87,,232_steel
9903.81.88,,232_steel
9903.81.89,,232_steel
9903.81.90,,232_steel
9903.81.91,,232_steel
9903.81.92,,232_steel
9903.81.93,,232_steel
