HTS_Code,Description,List
0101.21.00,Live purebred breeding horses,4a
0101.29.00,Live horses other than purebred breeding horses,4a
0101.30.00,Live asses,4a
0101.90.30,Mules and hinnies imported for immediate slaughter,4a
0101.90.40,Mules and hinnies not imported for immediate slaughter,4a
0102.21.00,Live purebred breeding cattle,4a
0102.29.20,Cows imported specially for dairy purposes,4a
0102.29.40,Live cattle other than purebred or those imported for dairy purposes,4a
0102.31.00,Live purebred breeding buffalo,4a
0102.39.00,"Live buffalo, other than purebred breeding animals",4a
0102.90.00,"Live bovine animals, other than cattle and buffalo",4a
0103.10.00,Live purebred breeding swine,4a
0103.91.00,"Live swine, other than purebred breeding swine, weighing less than 50 kg each",4a
0103.92.00,"Live swine, other than purebred breeding swine, weighing 50 kg or more",4a
0104.10.00,Live sheep,4a
0104.20.00,Live goats,4a
0105.11.00,Live chickens weighing not over 185 g each,4a
0105.12.00,Live turkeys weighing not more than over 185 g each,4a
0105.13.00,"Live ducks, weighing not more than 185 g each",4a
0105.14.00,"Live geese, weighing not more than 185 g each",4a
0105.15.00,"Live guinea fowls, weighing not more than 185 g each",4a
0105.94.00,Live Poultry;Chickens,4a
0105.99.00,"Live ducks, geese, turkeys and guineas, weighing over 185 g each",4a
0106.11.00,Live primates,4a
0106.12.01,"Live whales, dolphins and porpoises; manatees and dugongs, seals, sea lions, and walruses",4a
0106.13.00,Live camels and other camel ids (Camelidae),4a
0106.14.00,Live rabbits and hares,4a
0106.19.30,Live foxes,4a
0106.19.91,"Live mammals, not elsewhere specified or included",4a
0106.20.00,Live reptiles (including snakes and turtles),4a
0106.31.00,Live birds of prey,4a
0106.32.00,"Live psittaciforme birds (including parrots, parakeets, macaws and cockatoos) Federal Register/Vol. 84, No. 161/Tuesday, August 20, 2019/Notices 43331 VerDate Sep<11>2014 21:08 Aug 19, 2019 Jkt 247001 PO 00000 Frm 00029 Fmt 4701 Sfmt 4725 E:\FR\FM\20AUN2.SGM 20AUN2 2SECITON htiw DORP280QLG3KSD no llebj >HPG/<030.91UA02NE HTS Subheading Product Description",4a
0106.33.00,Ostriches; emus,4a
0106.39.01,"Live birds, other than poultry, birds of prey or psittaciforme birds",4a
0106.41.00,Bees,4a
