HTS_Code,Description,Section,Product_Type,Rate_General,Rate_UK,Quota_Countries,Chapter_99_Codes,Notes
# Chapter 72 - Iron and Steel
7201,Pig iron and spiegeleisen,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Primary steel products
7202,Ferro-alloys,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Ferro-alloys
7203,Ferrous products from iron ore reduction,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Iron ore reduction products
7204,Ferrous waste and scrap,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Scrap metal
7205,Granules and powders of iron/steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Iron/steel powders
7206,Iron and non-alloy steel primary forms,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Primary forms
7207,Semi-finished products of iron/steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Semi-finished
7208,Flat-rolled products hot-rolled,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Hot-rolled flat
7209,Flat-rolled products cold-rolled,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Cold-rolled flat
7210,Flat-rolled products plated/coated,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Plated/coated flat
7211,Flat-rolled products under 600mm,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Narrow flat products
7212,Flat-rolled products plated/coated under 600mm,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Narrow plated/coated
7213,Bars and rods hot-rolled,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Hot-rolled bars
7214,Other bars and rods,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Other bars
7215,Other bars and rods cold-formed,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Cold-formed bars
7216,Angles shapes and sections,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Structural shapes
7217,Wire of iron or non-alloy steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Wire products
7218,Stainless steel primary forms,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Stainless primary
7219,Flat-rolled stainless over 600mm,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Stainless flat wide
7220,Flat-rolled stainless under 600mm,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Stainless flat narrow
7221,Bars and rods stainless hot-rolled,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Stainless bars hot
7222,Other bars/rods/angles stainless,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Stainless bars other
7223,Wire of stainless steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Stainless wire
7224,Other alloy steel primary forms,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Alloy primary
7225,Flat-rolled other alloy over 600mm,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Alloy flat wide
7226,Flat-rolled other alloy under 600mm,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Alloy flat narrow
7227,Bars and rods other alloy hot-rolled,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Alloy bars hot
7228,Other bars/rods/angles alloy steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Alloy bars other
7229,Wire of other alloy steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Alloy wire

# Chapter 73 - Articles of Iron or Steel
7301,Sheet piling and welded angles,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Sheet piling
7302,Railway track construction material,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Railway materials
7303,Tubes pipes and hollow profiles cast iron,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Cast iron pipes
7304,Tubes pipes seamless iron/steel,232_steel,steel,50,25,"EU,BR,AR,KR,JP,UK","9903.80.01,9903.80.05",Seamless pipes
